date,orgcode,Tag,Number_Association_Employees,Number_Member_Businesses,Number_Member_Business_Employees,Association_annual_revenue,Industry_annual_revenue,Has_global_coronavirus,How have sales and revenue changed for your association AND for your members - compared to 1 year ago? (association),How have sales and revenue changed for your association AND for your members - compared to last month? (association),How have sales and revenue changed for your association AND for your members - compared to 1 year ago? (members),How have sales and revenue changed for your association AND for your members - compared to last month? (members),How have budgets and expenses changed for your association AND for your members - compared to 1 year ago? (association),How have budgets and expenses changed for your association AND for your members - compared to last month? (association),How have budgets and expenses changed for your association AND for your members - compared to 1 year ago?(members),How have budgets and expenses changed for your association AND for your members - compared to last month? (members),How have employment needs changed for your association AND for your members (select all that apply) - compared to 1 year ago? (association),How have employment needs changed for your association AND for your members (select all that apply) - compared to last month? (association),How have employment needs changed for your association AND for your members (select all that apply) - compared to 1 year ago? (members),How have employment needs changed for your association AND for your members (select all that apply) - compared to last month? (members),What percentage of your association's employees have been furloughed or laid off?,How has COVID-19 affected your industry's seasonal hiring?,"If affected, by how much?",What percentage of your industry's non-seasonal employees have been furloughed or laid off?
Apr-20,104,Hunting,17,2500,500,,,"Yes, significantly - we are experiencing difficulties in production and/or distribution",Down 26% to 49%,Down 10% or less,Down 26% to 49%,Down 11% to 25%,Budget has tightened and expenses reduced slightly,Budget has tightened and expenses reduced slightly,Budget tightened and expenses reduced significantly,Do not know,Employment needs have not changed,Employment needs have not changed,Less work so we have temporarily furloughed employees,We have closed our doors and laid off most or all staff,Haven't furloughed or laid off employees,NA,NA,Over 50%
Apr-20,103,Fishing,21,900,10000,,,"Yes, significantly - we are experiencing difficulties in production and/or distribution",Down 10% or less,Down 50% to 74%,Down 10% or less,Down 26% to 49%,Budget has tightened and expenses reduced slightly,Budget tightened and expenses reduced significantly,Budget has tightened and expenses reduced slightly,Budget tightened and expenses reduced significantly,Employment needs have not changed,Less work so we have laid off employees,Less work so we have temporarily furloughed employees,Less work so we have laid off employees,1% to 10%,NA,NA,11% to 20%
Apr-20,115,Motor Vehicle,13,2400,47000,,,"Yes, significantly - we are experiencing difficulties in production and/or distribution",Down 10% or less,Down 50% to 74%,Down 10% or less,Down 26% to 49%,Budget and expenses are the same or similar,Budget tightened and expenses reduced significantly,Budget and expenses are the same or similar,Budget tightened and expenses reduced significantly,Employment needs have not changed,Employment needs have not changed,More employees needed - we are hiring,Less work so we have temporarily furloughed employees,Haven't furloughed or laid off employees,NA,NA,21% to 30%
Apr-20,101,Gear + Equipment,7,350,5000,,,"Yes, significantly - we are experiencing difficulties in production and/or distribution",Down 10% or less,Down 10% or less,Down 11% to 25%,Down 11% to 25%,Budget has tightened and expenses reduced slightly,Budget has tightened and expenses reduced slightly,Budget has tightened and expenses reduced slightly,Budget has tightened and expenses reduced slightly,Employment needs have not changed,Employment needs have not changed,Employment needs have not changed,Employment needs have not changed,Haven't furloughed or laid off employees,NA,NA,Haven't furloughed or laid off employees
Apr-20,101,Guides + Outfitters,7,350,5000,,,"Yes, significantly - we are experiencing difficulties in production and/or distribution",Down 10% or less,Down 10% or less,Down 11% to 25%,Down 11% to 25%,Budget has tightened and expenses reduced slightly,Budget has tightened and expenses reduced slightly,Budget has tightened and expenses reduced slightly,Budget has tightened and expenses reduced slightly,Employment needs have not changed,Employment needs have not changed,Employment needs have not changed,Employment needs have not changed,Haven't furloughed or laid off employees,NA,NA,Haven't furloughed or laid off employees
Apr-20,121,Gear + Equipment,7,400,,,,"Yes, significantly - we are experiencing difficulties in production and/or distribution",Down 11% to 25%,Down 26% to 49%,Down 26% to 49%,Down 50% to 74%,Budget has tightened and expenses reduced slightly,Budget tightened and expenses reduced significantly,Budget has tightened and expenses reduced slightly,Budget tightened and expenses reduced significantly,Employment needs have not changed,Employment needs have not changed,"Less work so we have temporarily furloughed employees,Less work so we have laid off employees","Less work so we have temporarily furloughed employees,Less work so we have laid off employees",Haven't furloughed or laid off employees,NA,NA,11% to 20%
Apr-20,127,Snowsports,2,4,,,,"No, but continued slowdown in the economy could change that - we have not experienced impacts to supply chain or distribution but anticipate that we will in the future",Down 10% or less,NA,NA,NA,Budget tightened and expenses reduced significantly,NA,NA,NA,Employment needs have not changed,NA,NA,NA,Haven't furloughed or laid off employees,NA,NA,Haven't furloughed or laid off employees
Apr-20,113,Gear + Equipment,24,260,800000,,,"Yes, but not significantly - we are experiencing slight inconveniences but finding workarounds and otherwise operating normally",Flat,Flat,Flat,Flat,Do not know,Do not know,Do not know,Do not know,More employees needed - we are hiring,More employees needed - we are hiring,More employees needed - we are hiring,More employees needed - we are hiring,Haven't furloughed or laid off employees,NA,NA,Do not know
Apr-20,116,Motor Vehicle,45,413,,,,"Yes, but not significantly - we are experiencing slight inconveniences but finding workarounds and otherwise operating normally",Down 75% or more,Down 75% or more,Down 75% or more,Down 75% or more,Budget tightened and expenses increased,Budget tightened and expenses reduced significantly,Budget tightened and expenses reduced significantly,Budget tightened and expenses reduced significantly,NA,NA,Less work so we have laid off employees,"Less work so we have temporarily furloughed employees,Less work so we have laid off employees",1% to 10%,NA,NA,Do not know
Apr-20,109,Motor Vehicle,66,500,,,,"Yes, significantly - we are experiencing difficulties in production and/or distribution",Down 50% to 74%,NA,NA,NA,Budget tightened and expenses reduced significantly,Budget tightened and expenses reduced significantly,NA,NA,Less work so we have temporarily furloughed employees,Less work so we have temporarily furloughed employees,NA,NA,NA,NA,NA,NA
