Recorded Date,Please share some basic information about yourself and your association. - Association Name,Number of Association Employees (2019),Number of Member Businesses,Number of Member Business Employees (2019),Tag,Association annual revenue (2019),Industry annual revenue (2019),Has the global coronavirus pandemic disrupted your industry's supply chain and/or distribution of product?,How have sales and revenue changed for your association AND for your members - compared to 1 year ago? (association),How have sales and revenue changed for your association AND for your members - compared to last month? (association),How have sales and revenue changed for your association AND for your members - compared to 1 year ago? (members),How have sales and revenue changed for your association AND for your members - compared to last month? (members),How have budgets and expenses changed for your association AND for your members - compared to 1 year ago? (association),How have budgets and expenses changed for your association AND for your members - compared to last month? (association),How have budgets and expenses changed for your association AND for your members - compared to 1 year ago?(members),How have budgets and expenses changed for your association AND for your members - compared to last month? (members),How have employment needs changed for your association AND for your members (select all that apply) - compared to 1 year ago? (association),How have employment needs changed for your association AND for your members (select all that apply) - compared to last month? (association),How have employment needs changed for your association AND for your members (select all that apply) - compared to 1 year ago? (members),How have employment needs changed for your association AND for your members (select all that apply) - compared to last month? (members),What percentage of your association's employees have been furloughed or laid off?,How has COVID-19 affected your industry's seasonal hiring?,"If affected, by how much?",What percentage of your industry's non-seasonal employees have been furloughed or laid off?
4/24/20 10:45,America Outdoors Association,4,650,,Guides + Outfitters,,,1,2,3,2,3,3,3,3,3,4,4,5,5,5,,,7
5/27/20 11:00,America Outdoors Association,4,300,"15,000",Guides + Outfitters,,,1,2,6,1,6,3,3,3,1,4,4,"3,4,5","2,5",6,,,4
4/21/20 7:08,American Horse Council,7,350,5000,"Guides + Outfitters, Gear + Equipment",,,1,5,5,4,4,2,2,2,2,1,1,1,1,1,,,1
5/19/20 11:45,American Horse Council,5,300,"15,000","Guides + Outfitters, Gear + Equipment",,,1,5,5,3,3,2,2,3,3,1,1,1,1,1,,,3
7/30/20 11:39,American Horse Council,4,500,1000000,"Guides + Outfitters, Gear + Equipment",1000000,"122,000,000,000",2,5,6,4,5,2,2,3,2,1,1,1,1,1,1,2,1
4/24/20 14:45,American Mountain Guides Association,10,4032,NA,Guides + Outfitters,,,1,3,5,2,7,3,2,3,2,4,4,4,4,5,,,7
5/26/20 15:01,American Mountain Guides Association,10,4032,NA,Guides + Outfitters,,,1,3,5,2,7,3,1,3,1,4,1,4,1,5,,,7
8/6/20 17:32,American Mountain Guides Association,10,32,400,Guides + Outfitters,"2,500,000",Unknown,1,6,6,3,7,3,1,3,1,4,1,4,1,5,2,3,8
4/21/20 4:52,American Sportfishing Association,21,900,10000,Fishing,,,1,5,2,5,3,2,3,2,3,1,4,3,4,2,,,3
5/19/20 13:54,American Sportfishing Association,21,900,100000,Fishing,,,1,3,3,5,6,3,3,3,2,1,1,1,2,2,,,3
